id,proverb,meaning,wrong1,wrong2,wrong3,category
199,"अब्जस्याही राँडका, निधारमा लिखा",जस नपाउने नारी ।,अब्जस्याही राँडका निधारमा केही लेखिएको छैन,निधारमा लेखिएको कुरा सधैं गलत हुन्छ,निधारमा लेखिएको कुरा परिवर्तन गर्न सकिन्छ,Fate and Caution
205,अँधेराको घर भुतको डेरा,एकान्त ठाउँमा घर बनाउँदा तेस्तै हुन्छ ।,घरमा बत्ती बाल्न नपुग्दा भूतहरू आउने गर्छन्,अँध्यारो घरमा बस्ने मानिसहरू भूत बन्छन्,भूतहरूले अँध्यारो घरलाई आफ्नो घर बनाउँछन्,Fate and Caution
275,आगलागी झुपडी डेढ घडी भद्रा,ढिलो नगर्नु समयमा नै काम गर्नु ।,झुपडीमा आगो लाग्दा समय रोकिन्छ,डेढ घडीको समय झुपडीमा आगलागी हुँदा थाहा पाइन्छ,आगलागी हुँदा झुपडीमा भद्र मानिस मात्र हुन्छ,Fate and Caution
283,"आँधी उठे बसिहाल्नु, पानी परे भागिहाल्नु",आफ्नो सुरक्षा आफैँले गर्नुपर्छ ।,आँधी आएपछि रमाइलो गर्न बस्नु,पानी परेपछि खेल्न जानु,आँधी र पानी दुवैको प्रतिक्षा गर्नु,Fate and Caution
318,आगो न मुगो भुकभुके रोटी,बेतालको काम गर्नु,आगो र मुगो मिलेर रोटी पकाउँछन्,रोटी पकाउन आगो र मुगो चाहिन्छ,आगो बिना पनि रोटी पाक्छ,Fate and Caution
329,आपत र विपत एक्लै आउँदैन,दशा लाग्नु ।,आपत र विपत कहिल्यै आउँदैन,आपत र विपत सधैं खुशी ल्याउँछ,आपत र विपत सँगै आउँदैन,Fate and Caution
351,आयु भएको छोरालाई वायुको केही लाग्दैन,बाँच्नु छ भने केही गरे पनि मरिन्न ।,छोरो ठूलो भएपछि हावा चल्दैन,छोरो जवान भएपछि हावाको असर हुँदैन,वायुले वृद्ध छोरालाई असर गर्दैन,Fate and Caution
354,आए नेपाल काटे कपाल,चारपाटे मुडिनेले व्यङ्ग्यात्मक कुरा गरेको ।,नेपालमा आएपछि कपाल काट्नै पर्छ,नेपालमा कपाल काट्न प्रतिबन्ध छ,कपाल काट्न नेपाल आउनै पर्छ,Fate and Caution
362,आज मरे भोलि औषधि,मौकामा नपाएको सामान पछि के काम ।,आज मरेपछि औषधि खानु पर्छ,मरेपछि पनि औषधिले बचाउन सक्छ,औषधि खाएर मर्नु राम्रो हुन्छ,Fate and Caution
393,आफू नमरुन्जेल चिहान नदेखिने,आफैँले भोगेर मात्र जानिन्छ ।,आफू नमरेपछि मात्रै चिहान देख्न सकिन्छ,चिहान देख्नका लागि मर्नैपर्छ,चिहानमा पुग्न चिहान देख्न जरुरी छ,Fate and Caution
402,"आँपको आँप, कोयाको दाम",अतिरिक्त दाम असुल्नु ।,आँप र कोयालाई एउटै मूल्यमा बेच्नुपर्छ,कोया महँगो हुन्छ,आँप सस्तो र फाइदाजनक हुँदैन,Fate and Caution
437,"आफू उठी परदेश जाने, छोरो पाई राख भन्ने",असम्भव तथा अनैतिक कुराको चाहना गर्नु ।,"आफू मात्र विदेश जान्छु, छोरालाई घरमै बस्न बाध्य पार्छु",आफूले विदेश जाने निर्णय गर्दा छोराको सल्लाह लिन्न,"आफूले विदेशमा रमाइलो गर्छु, छोरालाई दुःख दिन्छु",Fate and Caution
447,आफ्नै खुट्टामा बन्चरो हान्नु,आफ्नै कुभलो हुने काम गर्नु ।,आफ्नै खुट्टामा बन्चरो हान्दा चोट लाग्दैन,बन्चरो हान्नाले खुट्टा बलियो हुन्छ,खुट्टामा बन्चरो हान्नु त राम्रो अभ्यास हो,Fate and Caution
469,आयु भएको छोरालाई वायुले खाँदैन,दिन बलियो छउन्जेल केही हुँदैन ।,वायुले खान्छ तर छोरालाई केही हुँदैन,छोराको आयु भए पनि वायुले हानि गर्छ,वायुले छोरालाई खान सक्छ तर आयुले बचाउँछ,Fate and Caution
476,आशाको त्यान्द्रोले जीवन धान्छ,जीवन आशामै अडिएको हुन्छ ।,आशा नगरे जीवन राम्रो चल्छ,आशा गरेपछि कुनै प्रयास गर्नै पर्दैन,आशा मात्र जीवनको लागि पर्याप्त हुन्छ,Fate and Caution
478,आशेको बार कुखुराले भत्कायो,कमजोर काम ।,कुखुराले बार बनाउन मद्दत गर्‍यो,बार बलियो थियो तर कुखुराले सजिलै भत्कायो,कुखुराले बार बनायो तर आफैंले भत्कायो,Fate and Caution
492,इनार पो बेचियो पानी त बेचेको छैन,झेल गरेको कुरा,इनार बेचिसकेपछि पानी पनि बेच्छ,पानी बेच्न नमिल्ने कुरा हो,इनार बेच्दा पानी सधैं त्यहीँ रहन्छ,Fate and Caution
507,ईश्वरले दिनु परे छप्पर फाडेर दिन्छन्,जस्तै काम पनि बन्छ ।,ईश्वरले सधैं खराब कुरा मात्र दिन्छन्,छप्पर फाडेर दिनु भनेको सधैं नकारात्मक कुरा हुन्छ,ईश्वरले सधैं अनावश्यक र धेरै कुरा दिन्छन्,Fate and Caution
510,उखरमाउलो भुँवर ताउलो,उत्ताउलो व्यवहार गर्ने व्यक्ति अप्ठ्यारोमा पर्छ ।,भुँवरमा तातो ताउलो राखेर खाना पकाउनु,भुँवरमा आगो सल्काएर तातो बनाउनु,तातो ताउलोले भुँवरलाई नियन्त्रण गर्नु,Fate and Caution
527,उल्फाको धन उल्फामै स्वाहा,आइलागेको धन दिगो हुँदैन ।,उल्फाले धन कमाउँछ तर अरूलाई दिन्छ,उल्फाले धन जम्मा गर्छ तर खर्च गर्न जान्दैन,उल्फाले धन कमाउँछ तर गुमाउँछ,Fate and Caution
544,उत्तर जाउँ भने हिउँले खाको,चारदिशाको वर्णन ।,हिउँले खाएको ठाउँमा जानु राम्रो हुन्छ,हिउँ परेको ठाउँमा जानु स्वास्थ्यको लागि फाइदाजनक हुन्छ,जाडो मौसममा यात्रा गर्नु सजिलो हुन्छ,Fate and Caution
551,उचालेको गाँस लागेका महिना,सुत्केरी हुने समय भैसक्यो भनेको ।,खान लागेको गाँस अरूले खोस्छन्,उचालेको गाँसले पेट दुखाउँछ,गाँस उचाल्दा महिना बिग्रिन्छ,Fate and Caution
552,उन्युँ फुल्दैन ढुङ्गो टुसाउँदैन,पर्खेर बस्दैन भनेको ।,ढुङ्गो पनि फुल्न सक्छ,उन्युँ टुसाउन सक्छ,असम्भव कुरा पनि सम्भव हुन्छ,Fate and Caution
559,उसलाई त रामवाण नै लाग्यो,दिन बिग्रिएर काम बिग्रनु ।,उसलाई त रामको वाणले नै हान्यो,उसलाई कुनै औषधि फाइदा भएन,उसलाई रामले आफैं वाण हाने,Fate and Caution
597,ऊ दिन त रहेन भने यो दिन पनि कति रहला,समयको कुरा ।,ऊ दिन त रहेन भने यो दिन पनि कहिल्यै आउँदैन,ऊ दिन त रहेन भने यो दिन तुरुन्तै सकिन्छ,ऊ दिन त रहेन भने यो दिनको कुनै महत्व छैन,Fate and Caution
600,ऊँटको मुखमा जिरा,थोरै हुनु,ऊँटले जिरा खान मन पराउँछ,जिरा ऊँटको मुखमा सजिलै पग्लिन्छ,ऊँटले जिरा मुखमा राखेर चपाउँछ,Fate and Caution
628,"एक बारको चोला, जसो होला-होला",भविष्यप्रति निश्चिन्त रहनु,"जिन्दगीमा गल्ती गर्न पाइन्छ, त्यसैले जसो गरे पनि हुन्छ",जीवनलाई हल्का रूपमा लिनु ठीक हो,"जसो पनि बाँच्न सकिन्छ, प्रयास गर्न जरुरी छैन",Fate and Caution
710,ओखलमा हात हालेपछि मुसलको के डर,निर्धक्क हुनुपर्छ ।,ओखलमा हात हालेपछि सबै कुरा सजिलो हुन्छ,ओखलमा हात हालेपछि कुनै खतरा हुँदैन,मुसलले चोट पुर्याउन सक्दैन,Fate and Caution
716,ओरालो लागेको मृगलाई बच्चाले पनि खेद्छ,दिन बिग्रेपछि सानो मान्छेले पनि हेप्छ ।,ओरालो लागेपछि मृगलाई बच्चाले मात्र खेद्न सक्छ,मृग ओरालो लाग्दा बच्चाले मात्र खेद्छ,बच्चाले मृगलाई खेद्न सफल हुन्छ भने मृग कमजोर हुन्छ,Fate and Caution
731,औँलाका खानदानले खौला पर्न जाँदैन,ठूलाबडा जहाँसुकै जाने ।,औँलाका खानदानले कहिल्यै खाना पकाउँदैन,औँलाका खानदानले खतरनाक काम गर्न सक्दैन,औँलाका खानदानले अरूलाई सहयोग गर्दैन,Fate and Caution
775,के गर्छस् फुस्रा लुतो न कनाइ,"काम नभएको, बेकार, बेरोजगार ।",केही नगरी पनि सफलता मिल्छ,लुतो कनाउँदा राम्रो हुन्छ,फुस्रा कुरा गर्दा काम सजिलै हुन्छ,Fate and Caution
791,कस्ता कस्ता कहाँ गए मुसाको छाउरा दरबार,हेला गरी खिसी गर्नु ।,कस्ता कस्ता मानिस दरबारमा जान्छन्,दरबारमा मुसाको छाउरा हुन्छ,मुसा पनि दरबारमा जान्छ,Fate and Caution
809,कालले बिर्से मोरङ पस्नु,औलोको प्रकोप हुँदाको भनाइ,कालले मोरङलाई बिर्सेर जान्छ,मोरङमा कालीको बास छैन,काल मोरङमा कहिल्यै आउँदैन,Fate and Caution
813,काशी जानु कुत्तीको बाटो,उल्टो काम गर्नु,काशी जानु भनेको कुत्तीसँग जानु हो,काशी पुग्न कुत्तीसँग यात्रा गर्नु पर्छ,काशी जान कुत्तीसँग बाटो सोध्नुपर्छ,Fate and Caution
814,कि चपरीमुनि बास कि हस्तिनापुरको राज,जे पर्ला पर्ला भन्ने सोच,चपरीमुनि बस्नेलाई हस्तिनापुरको राजा बनाइन्छ,हस्तिनापुरको राजा चपरीमुनि बस्नुपर्छ,चपरीमुनिको बास हस्तिनापुरमा हुन्छ,Fate and Caution
818,कङ्गालीले लाए पत्थर धनीले लाए हीरा,एउटै वस्तुको ठाउँअनुसारको भान हुनु,कङ्गालीले पत्थर लाए भने धनीले त्यसलाई हीरा बनाउँछ,कङ्गालीले पत्थर लाए भने धनीले आफ्नो हीरा गुमाउँछ,कङ्गालीले पत्थर लाए भने धनीले पत्थरलाई पनि हीरा ठान्छ,Fate and Caution
830,कमिलालाई मुतको पैरो,सानोलाई सानै समस्या पनि ठूलो हुन्छ,कमिलालाई पानीमा डुबाउनु,कमिलालाई आगोमा हाल्नु,कमिलालाई हावामा उडाउनु,Fate and Caution
831,कमेरो लाएको घरमा खुँदो हुन्छ,जतन गरेको हुन्छ,कमेरो लाएको घरमा मात्र खुँदो हुन्छ,खुँदो हुनु राम्रो हुन्छ,कमेरो लाएपछि खुँदो अनिवार्य हुन्छ,Fate and Caution
835,कर्कलालाई बन्चरो,नसुहाउने काम,कर्कला बलियो हुन्छ,बन्चरोले कर्कलालाई काट्न सक्दैन,कर्कलालाई बन्चरोले गोड्नुपर्छ,Fate and Caution
865,चैतमा घिउ खोज्ने निहुँ खोज्ने,समय नमिलाएर भन्नु,चैतमा घिउ खोज्न पाइन्छ,चैतमा घिउ सस्तो हुन्छ,चैतमा घिउको माग धेरै हुन्छ,Fate and Caution
897,"छ लुगा छ जाडो, छैन लुगा छैन जाडो",जसोतसो टर्छ भनेको ।,जाडो लुगा लगाउँदा मात्र हुन्छ,लुगा नलगाउँदा जाडो लाग्दैन,जाडोको कारण लुगा हो,Fate and Caution
977,"जमदार्नी सुवेदार्नी भएँ, मर्ने बेलामा यस्तै भएँ",उमेरमा धेरै पोइल जानेले पछि दुःख पाउनु ।,जमदार्नी र सुवेदार्नी भए पनि मर्नु परेन,मर्ने बेलामा उच्च पदमा पुगिन्छ,मर्ने बेलामा सबै कुरा ठीक हुन्छ,Fate and Caution
1007,जब भेटियो दमाई तब भयो कमाइ,काम बन्दै जाने लक्षण ।,दमाई भेट्नासाथ धन हराउँछ,दमाई भेट्दा व्यापार बन्द हुन्छ,दमाई भेट्नासाथ ऋण लाग्छ,Fate and Caution
1014,जसले जन्म दिन्छ उसकै कर्म दिन्छ,बाबुआमालाई भनेको ।,"जसले बच्चा जन्माउँछ, उसले बच्चाको भविष्य निर्धारण गर्छ","जसले जन्म दिन्छ, उसले सधैं दुःख दिन्छ",जन्म दिने व्यक्ति नै सधैं खराब कर्म गर्छ,Fate and Caution
1047,जहाँ हतपत त्यहीँ लतपत,हतारको काम राम्रो हुँदैन ।,जहाँ हतपत त्यहाँ सफा काम हुन्छ,हतपत गर्दा समय बचत हुन्छ,हतपत गर्दा सफलता प्राप्त हुन्छ,Fate and Caution
1056,जानु नै जहाँ छ लानु नै के छ,जीवन व्यर्थ ठान्नेहरूका कुरा ।,जानु भनेको यात्रा मात्र हो,जहाँ गए पनि केही फरक पर्दैन,लानु भनेको केही बोक्नु हो,Fate and Caution
1058,जहाँ हेर्दा कोर्दा पनि उसैलाई जुर्नु,ज्योतिषीलाई हेराउने चलन ।,जहाँ गए पनि त्यही ठाउँमा फर्किनु,सबै काममा असफल हुनु,सधैं एउटै व्यक्तिसँग झगडा हुनु,Fate and Caution
1063,"जान्दैन कुरा पाउँदैन भेउ, मकै नहुने बारी खड्कालाई देउ",खड्काहरू अल्छी हुनाले गिज्याएको ।,खड्कालाई मकै दिने बारी राम्रो हुन्छ,कुरा जान्नेले मात्र भेउ पाउँछ,मकै नहुने बारीमा खड्काले मकै फलाउन सक्छ,Fate and Caution
1076,जिउ नै छैन भने घिउको के काम,मुख्य कुरा नभएपछि साधनले मात्र के गर्नु ।,जिउ नभए पनि घिउ खानु पर्छ,जिउ नभए पनि घिउले स्वास्थ्य राम्रो हुन्छ,जिउ नभए पनि घिउ सँगै राख्नु पर्छ,Fate and Caution
1090,जुनकिरीको पिँधले उज्यालो पुग्ने भए चन्द्रमा केका लागि,ठूलो वस्तुले गर्ने काम सानोले गर्न सक्तैन ।,जुनकिरीले चन्द्रमालाई प्रतिस्थापन गर्न सक्छ,साना प्रयासहरू ठूला उपलब्धिहरूसँग तुलना गर्न सकिन्छ,जुनकिरीको उज्यालो चन्द्रमाभन्दा बलियो हुन्छ,Fate and Caution
1094,जुनकीरीको पिँधले स्वर्ग उज्यालो हुँदैन,सानो कोसिसले ठूलो काम बन्दैन ।,स्वर्गमा पुग्न जुनकीरीको पिँधको उज्यालो चाहिन्छ,जुनकीरीको पिँधले सधैं स्वर्ग उज्यालो बनाउँछ,जुनकीरी स्वर्गमा उज्यालो दिन सक्षम छ,Fate and Caution
1096,जुको भै पस्ने मुसल भै निस्कने,चाप्लुस र चुक्लीबाज चरित्र ।,जुका र मुसल एउटै जनावर हुन्,जुका मुसलको साथी हो,जुका र मुसल एकसाथ काम गर्छन्,Fate and Caution
1113,"जो दिन्छ बास, उसैको हुन्छ सर्वनास",जसले मद्दत गर्छ उसैको नोक्सान पर्ने ।,"जो बास दिन्छ, उसले नै सबैलाई नास गर्छ","जसले सहयोग गर्छ, उसले आफैंलाई हानी पुर्‍याउँछ",बास दिने मान्छेले सधैं नराम्रो परिणाम भोग्छ,Fate and Caution
1156,झन्डा न निसान छोरो भयो कप्तान,व्यर्थैको कुरा ।,झन्डा बिना नै कप्तान बन्न सकिन्छ,छोरो भएपछि झन्डा र निसानको आवश्यकता हुँदैन,झन्डा र निसानको कुनै महत्व छैन,Fate and Caution
1161,झाडीमा पसेर सारी लगाउनु,चाँडै नोक्सान हुन्छ भनेको ।,झाडीमा पसेर कपडा सुकाउनु,झाडीमा पसेर खाना पकाउनु,झाडीमा पसेर खेल खेल्नु,Fate and Caution
1176,झिँगाको कुन आन्द्रा कुन भुँडी,सूक्ष्म वस्तुको आँतभेउ पाइन्न।,झिँगाको भुँडीमा आन्द्रा हुँदैन,"झिँगा साना हुन्छन्, त्यसैले यसमा भुँडी र आन्द्रा छुट्याउन सकिँदैन",झिँगाको शरीरको संरचना बुझ्न गाह्रो हुन्छ,Fate and Caution
1218,डाँडा पारी जाई रामकली गाई,लुकेर बोल्नुको केही अर्थ हुन्न ।,रामकली गाई डाँडा पारी हराएकी छिन्,गाई डाँडापारी पुगेर हरायो,रामकली गाईलाई डाँडापारी पुर्‍याएर छोडियो,Fate and Caution
1223,डुब्न लागेकालाई सिन्काको सहारा,सानैबाट पनि सहयोगको चाहना राख्नु ।,डुब्न लागेकोले सिन्का समातेर तैरिन सक्छ,सिन्का समात्दा डुब्न लागेको व्यक्ति बच्न सक्छ,सिन्का डुब्न लागेको व्यक्तिको लागि मुख्य सहारा हो,Fate and Caution
1240,"ढुङ्गो बोल्दैन, राजा सुन्दैन, उन्यु फुल्दैन",नपाइने फलको आशै नगर्नू ।,ढुङ्गो बोल्न सक्छ,राजा सधैं सुन्छ,उन्यु फुल्न सक्छ,Fate and Caution
1249,तातो पानीले घर डढ्दैन,अयोग्य वस्तुबाट काम चल्दैन ।,तातो पानीले आगो बल्छ,तातो पानीले घर चिसो हुन्छ,तातो पानीले घर सफा हुन्छ,Fate and Caution
1270,तैरिन तैरिन बुढी बाखी किन,नहुनु खर्च भएपछि के बाँकी राख्नु,बुढी बाखीले पौडी खेल्न सिक्न खोजी,बुढी बाखी पानीमा डुब्न लागी,तैरिन नसक्ने बाखीले तालमा जान खोजी,Fate and Caution
1329,दर्जन थाप्नु बाघलाई मल हाल्नु सागलाई,असललाई बढाउनु अरूलाई नोक्सान गर्नु ।,बाघलाई मल हालेर साग बढ्छ,दर्जन थाप्दा बाघले साग खान्छ,सागलाई मल हाल्दा बाघ आउँछ,Fate and Caution
1333,दाँत फुक्लेको बुढालाई घिउ हालेको खट्टे,विचार नपुऱ्याएको व्यवहार ।,बुढो मान्छेलाई घिउले फाइदा हुन्छ,दाँत फुक्लेको मान्छेले घिउ खानुपर्छ,बुढो मान्छेले खट्टे खान मन पराउँछ,Fate and Caution
1340,दरबार कि तरबार,सधैँ शङ्का र मार काट ।,दरबारको तरबार सधैं धारिलो हुन्छ,दरबार र तरबार एउटै कुरा हुन्,तरबार बिना दरबार चल्दैन,Fate and Caution
1344,दसतिरको जोहो एकातिरको लहना,एकतिर जुरेको हुनु ।,सबै तिर ध्यान दिनु राम्रो हुन्छ,एकतिर मात्र लाग्नु राम्रो हुन्छ,धेरै जोहो गर्नु बेकार हो,Fate and Caution
1348,दशा लगोका बेलामा नखाएको विष पनि लाग्छ,नगरेको बिगारको पनि दोष आइलाग्नु ।,दशा लागेको बेला नखाएको विषले फाइदा गर्छ,विष खाए पनि दशा लाग्दैन,दशा लागेको बेला विष खानु राम्रो हुन्छ,Fate and Caution
1350,दसैँ होइन दशा आउनु,धेरै झन्झट भएर ।,दसैँमा मात्र नराम्रो कुरा हुन्छ,दसैँ आउनु भनेको खराब समय आउनु हो,दशा आउँदा मात्र दसैँ मनाइन्छ,Fate and Caution
1355,"दिउँसो दमिनी घोडा चड, राति दमिनी कपाल कोर",असुहाउँदो काम गर्नु ।,दमिनी घोडा चढ्न सिपालु छ,राति घोडा चढ्न सकिँदैन,कपाल कोर्नु घोडा चढ्न जत्तिकै गाह्रो काम हो,Fate and Caution
1389,दुःख पाए राडी नओढ्नु सुख पाएपछि सिरक नओछ्याउनु,कुनै कुरामा पनि सीमा ननाघ्नू ।,दुःख हुँदा राडी ओढ्नै नहुने,सुख हुँदा सिरक ओछ्याउन नपाइने,दुःख र सुख दुबै अवस्थामा केही पनि नगरी बस्नुपर्ने,Fate and Caution
1401,दाँत झिकेको बाघसँग कोही डराउँदैन,शक्तिहीनसँग डराउनुपर्दैन ।,बाघको दाँत झिक्दा बाघ अझै खतरनाक हुन्छ,दाँत झिकेको बाघले अझ धेरै आक्रमण गर्छ,बाघको दाँत झिकेपछि उसले मानिसलाई डर देखाउँछ,Fate and Caution
1444,दैवको चक्र सबैमाथि घुम्छ,दिन सबैलाई लाग्छ ।,दैवले मात्र गरिबलाई दुख दिन्छ,भाग्यले सधैं असफल बनाउँछ,दैवले धनीलाई कहिल्यै असर गर्दैन,Fate and Caution
1456,धनी हुँदैमा सिरक ओछ्याउनु हुँदैन,अति गर्नु हुँदैन ।,धनी भएपछी सिरक प्रयोग गर्नु बेकार हुन्छ,सिरक ओछ्याउँदा गरिबी आउँछ,धनी मानिसले सिरक ओछ्याउन नहुने नियम छ,Fate and Caution
1457,धनै रह्यो मनै रह्यो,दुवैको फाइदा ।,धन र मन दुवै सधैं रहन्छन्,धन भएको मान्छेको मन सधैं राम्रो हुन्छ,धन भएपछि मनको कुनै आवश्यकता हुँदैन,Fate and Caution
1467,धान छ भने नाइटोमा कुटेर पनि खान हुन्छ,फुर्ती लाएको ।,धान छ भने नाइटो दुखाए पनि केही फरक पर्दैन,धान छ भने नाइटोमा कुट्दा पनि धान फल्छ,नाइटोमा कुट्नाले धान राम्रो हुन्छ,Fate and Caution
1507,"नबिराउनु, नडराउनु",आत्मबल बढाइ हिँड्नु ।,नकुनै गल्ती नगर्नु र डराउनु नपर्ने,डराउनु नपर्ने भए पनि सधैं गल्ती गर्नु,नबिराउनु भनेको कहिल्यै डराउनु नपर्ने,Fate and Caution
1532,"नयाँ हुँदामा नौपुला चाल, पछि-पछि जगल्टाको काल",पुरानो भएपछि महत्त्वहीन हुनु ।,नयाँ हुँदा मानिसले धेरै गल्ती गर्छ,बूढो भएपछि मानिसले केही गर्न सक्दैन,नयाँ कुराहरू सधैं खराब हुन्छन्,Fate and Caution
1547,"नानीको बाबुको सति पनि गइनँ, विष पनि खाइनँ",उहिले मर्न डराएर एउटी महिलाले भनेकी ।,नानीको बाबु मरेनन्,सति जानु अनिवार्य छ,विष खाएर मात्र सति जान सकिन्छ,Fate and Caution
1561,निभेको आगो कसैले ताप्दैन,संसारको पारा स्वार्थी ।,निभेको आगो फेरि बल्छ,निभेको आगोले ठूलो क्षति गर्छ,निभेको आगो सबैलाई मनपर्छ,Fate and Caution
1593,"पापले पुण्य, धर्मले शून्य",कलीमा विपत्ति भयो भनेको ।,पापले पुण्य कमाइन्छ,धर्मले शून्य महत्व राख्छ,पाप गर्नाले पुण्य पाइन्छ,Fate and Caution
1594,पाए अन्त नपाए नरे थापाको जन्त,सकेसम्म अन्तैबाट काम हुने ।,पाए अन्त नपाए नरे थापालाई काम दिनुपर्छ,पाए अन्त नपाए नरे थापाको घर जानुपर्छ,नरे थापा अन्तिम विकल्प हो,Fate and Caution
1646,फिल्मी दुनियाँ क्यामेराको कमाल,क्यामेराले सबै मिलाउँछ ।,फिल्महरू क्यामेराले मात्र बनाइन्छन्,क्यामेराको प्रयोग बिना फिल्म बनाउन सकिन्न,फिल्ममा देखाइने सबै कुरा वास्तविक हुन्छ,Fate and Caution
1673,बाटो छाडे काँडो निभ्छ,गलत काम गरे दोष लाग्छ ।,काँडो निभाउन बाटो छोड्नुपर्छ,बाटो नछोडे काँडो बढ्छ,काँडो निभाउन बाटो बन्द गर्नुपर्छ,Fate and Caution
1711,बुढेसकालको पुता यता न उता,दुःख पाउँछ ।,बुढेसकालमा मानिसले धेरै यात्रा गर्छ,बुढेसकालमा मानिसले नयाँ कुरा सिक्न सक्छ,बुढेसकालमा मानिसले सजिलै काम गर्न सक्छ,Fate and Caution
1774,बिंड तातेर के गर्नु ताप्के ताते पो बेस,मुख्य मान्छेले काम थाल्नुपर्छ ।,बिंड तातेर ताप्के बिग्रन्छ,बिंड तातेर ताप्के चिसो हुन्छ,बिंड तातेर ताप्के फुट्छ,Fate and Caution
1811,भकारीमा धान छन् अर्कैले खान्छन्,आफ्नो वस्तुमा अर्काको रजाइँ ।,धान भकारीमा राख्दा बिग्रन्छ,धान भकारीमा राख्दा हराउँछ,अरूले धान भकारीमा राखिदिन्छन्,Fate and Caution
1818,भाग्यले बहादुरलाई मात्र अँगालो हाल्छ,बहादुरीमै भाग्य हुन्छ ।,भाग्यले कमजोरलाई अँगालो हाल्छ,भाग्यले डरपोकलाई मात्र अँगालो हाल्छ,भाग्यले परिश्रम नगर्नेहरूलाई अँगालो हाल्छ,Fate and Caution
1819,भगवान्‌ले दिए तालुमा ज्वानु फल्छ,जताबाट पनि फाइदा हुन्छ ।,भगवान्ले तालुमा ज्वानु फलाउँछन् भने बाल छैन,ज्वानु फल्दा भगवान् खुसी हुन्छन्,तालुमा ज्वानु फल्दा टाउको दुख्छ,Fate and Caution
1822,भदौमा आँखा फुटेको डिँगो सधैँ हरियो देख्छ,एकै नास सोच्ने,डिँगोले हरियो रंग मात्र देख्न सक्छ,भदौमा आँखा फुटेकोले दृष्टि राम्रो हुन्छ,डिँगोले सधैं हरियो घाँस खान्छ,Fate and Caution
1831,भाग्यमा छ भनेर डोकामा दूध अट्दैन,अरूको भर परेर मात्र काम बन्दैन ।,भाग्यमा छ भने डोकामा दूध अटाउन सकिन्छ,भाग्यमा छ भने सबै कुरा सजिलै मिल्छ,भाग्यमा छ भने कुनै प्रयास नगरी पनि सफलता पाइन्छ,Fate and Caution
